Date,Profile impressions,Shares,Engagement,Profile visits,Profile reach,Reel shares,New followers,RowHash
13/12/2024,1131,1,95,0,1003,1,,6469a92b4b283db1b2eaf0b3d9a8124f47c983a51e181e3642ccbe46bc3eb895
12/12/2024,185,0,0,0,117,0,,297a9929becd18dc71b5cb0e0a6f522f3b483e02055885246deb0b930b68d6c4
11/12/2024,180,0,0,0,128,0,,fac0c773ec19d7596957d296b57f6a9b7f29b1447c24cacdf8eb309dd1af6998
10/12/2024,250,0,0,0,164,0,,c8eef184d5e890577d7deb8d422601f6db7d546f5f0ab76dd325bbaf3a595f92
09/12/2024,316,0,0,0,220,0,,a00c1c3dea3b7add540037320b6f11d0e817e5d9186573d719bd9c689132848a
08/12/2024,351,0,0,0,267,0,,80c64c3e95773c6b2ba37ce36e49359203b18093cefcabc725048a2b6633c516
07/12/2024,489,0,0,0,379,0,,38db8b553d9d5df7023f6d89a8a2f5c3746985a9aee021ccd31327e41b52a976
06/12/2024,1770,0,0,0,1507,0,,676e280c32265342c4f671163d1587976bdae012410b1b715aa5477c74d1bdb5
05/12/2024,1550,1,333,0,1220,1,,835f4cc629ede96289b02c0efef1246a8c317e2d94657e2599580d694468344c
04/12/2024,446,0,0,0,217,0,,e8f8f5edce3e6a3275e37badd82efa03e04195083f83233ac9231f486ad26031
03/12/2024,2083,0,54,0,1707,0,,eb3dafd35abcf6dcf8ba2859cad37f16ab7272910c9d68a0c1bba0ac0adf91e9
02/12/2024,385,0,0,0,221,0,,ef21e1c401ab6a2fc90f553fd47572eae06fcd8c7fb2aca8bffa59d93a0aab05
01/12/2024,626,0,0,0,406,0,,a55f1fcf1335cc752df516b97b95f4361edf2e52970d55ddb2cabe0680967466
30/11/2024,2863,1,91,0,2556,1,,d7d16835a4d8141cdcf2af5b1d067f32a90e6c3229085fa970073e1b62876f82
29/11/2024,17470,0,0,0,16042,0,,1755ce99b305845f24ae933b5865ccf33597ce72480b5ee95e729167d6c63bf4
28/11/2024,1734,3,43,0,1547,3,,9448afbffaed747b4888f9f6b239b13b8ad1e9f23d5663c12b1ad8fbd240054b
27/11/2024,404,0,0,0,236,0,,05cfed1829c0feaeb57f9d388bdab072f43fafa7c0a6ed077239017ca6573dea
26/11/2024,540,0,0,0,395,0,,a0dba0b046c89135fd9012cc743395e3a43790a7b968cd4dcdb030f5a2ceaee3
25/11/2024,333,0,0,0,208,0,,66d9ebeefc556b028bfa8af1f8f382f6d3b449855aae5ea8de44946edff87bf6
24/11/2024,445,0,0,0,264,0,,36669027238b80ecd05c0239d3d89073eeeaf2f6a85f79da632e922aaca13625
23/11/2024,599,0,0,0,459,0,,ade4cae2da5b12ccec9820f0c5075625fbd1bc4c25aa517c6c43c8189ef4a4ea
22/11/2024,1115,0,0,0,829,0,,ee16b5cb85dcc916fe796183c865e7f8462a3ed808b7ce25b019f36b3abe2528
21/11/2024,5179,5,382,0,4299,5,,535d7fced514fe119fc7365e957c29ac9e6ff89605fdfa6d90bd52aa8f8114b6
20/11/2024,1665,0,51,0,1380,0,,28d016d1017ede776d44d99e42b54bfb6c636695674402e4a5d4631aea49db4f
19/11/2024,3852,1,265,0,2819,1,,59e2eac4f236fb3f01086201d809a066ad3b05d62b8437d9eacf452fe39234f8
18/11/2024,2413,0,247,0,1845,0,,60219b0267bc7ef73f28b5437cbe6867fa49e8c5980a606f9c175e732000a1f8
17/11/2024,2604,0,78,0,2099,0,,fa86f9f0b5d936adc70a206c52b39d165c063abc69c1a59772dabe2bd1021fe3
16/11/2024,6443,0,683,0,5487,0,,1087b5f8a05d1e4850b5a4ab972265048d90cd9d9a500b7b06f8f71cfa03ca30
15/11/2024,23091,0,60,7,20922,0,,e86be5faad1e1b41ad3e906ed8e8722ca2515350156f75587c675b2766a85ecf
14/11/2024,29043,0,132,0,26628,0,,3754e8bd62cfa51a7f305b8b7e6792a1909383bcf72b4cd0b893c177a83c248e
13/11/2024,39366,0,194,0,34723,0,,6c072fb2e938da7474c0f465ac98e99d66ee07fd5ebae1d46d42c367fbf4ad66
12/11/2024,30790,0,492,0,27213,0,,c810760ccb77a723bafffed274a48c9b424340d66ff1263e40af7f131b86ce5e
11/11/2024,41557,1,164,0,37410,1,,a8730ed8be6760ca6929b5ce1dec6674f69173a9adaf9c8103ed878133a4f8eb
10/11/2024,34928,0,184,0,32174,0,,12b09967fea8068d8cf22e7cfb7d84078cf41e975c3d99c5fbf9a3bb39cb31a5
09/11/2024,40335,1,198,0,36545,1,,5926d4b775ac4ec9333ef5272ca1994824197448759c9341afa4e3acd0070413
08/11/2024,25732,0,0,0,23646,0,,5a15ca0e4760f6a1b40d807b67e9d1887aae3e54f1cd7d32c184d35148ca0131
07/11/2024,31976,0,0,0,28835,0,,cbb28a69e0b3d220f41a4951fcbaed3ace3278dd6ba1a148fec460070b4f1600
06/11/2024,32285,0,0,0,28920,0,,4a88acea3af738ff151c8bb81376bbcbd62202df63f57e55f8d3f5027f2f89de
